"","Year","Haul","Haul_rate","Lat_Start","Long_Start","Tow_dist_km","Tow_minutes"
"1",1996,1,NA,64.3325,-165.381833333333,2.5928,27
"2",1996,2,"r",64.2985,-165.1815,2.4076,28
"3",1996,3,NA,64.3308333333333,-164.999333333333,2.5928,30
"4",1996,4,NA,64.332,-164.637666666667,2.6854,33
"5",1996,5,NA,64.4778333333333,-164.255166666667,2.5928,30
"6",1996,6,NA,64.5106666666667,-163.8125,2.5002,30
"7",1996,7,NA,64.3415,-164.182166666667,2.4076,30
"8",1996,8,NA,64.4946666666667,-162.317,2.778,29
"9",1996,9,NA,64.3551666666667,-162.284833333333,2.5928,33
"10",1996,10,NA,64.1886666666667,-162.327166666667,2.5928,31
"11",1996,11,NA,64.0218333333333,-162.2955,2.778,34
"12",1996,12,NA,63.9951666666667,-162.646166666667,2.48168,32
"13",1996,13,NA,64.1433333333333,-162.654666666667,2.72244,31
"14",1996,14,NA,64.3463333333333,-162.6335,2.57428,30
"15",1996,15,NA,64.1761666666667,-163.013166666667,2.74096,34
"16",1996,16,NA,64.0103333333333,-163.063166666667,3.1484,36
"17",1996,17,NA,63.9968333333333,-163.433,3.3336,37
"18",1996,18,NA,64.1556666666667,-163.447833333333,2.778,36
"19",1996,19,NA,64.3156666666667,-163.794666666667,3.1484,38
"20",1996,20,NA,64.3373333333333,-163.470333333333,2.9632,34
"21",1996,21,NA,64.0013333333333,-163.832666666667,2.53724,31
"22",1996,22,NA,64.152,-163.8055,2.9632,35
"23",1996,23,NA,64.1523333333333,-164.131166666667,2.5928,35
"24",1996,24,NA,63.9801666666667,-164.151,2.4076,27
"25",1996,25,NA,63.9886666666667,-164.580333333333,2.62984,34
"26",1996,26,NA,63.9911666666667,-164.955,2.64836,36
"27",1996,27,NA,64.1561666666667,-164.653166666667,3.5188,44
"28",1996,28,NA,64.1645,-164.953166666667,2.57428,32
"29",1996,29,NA,64.1655,-165.2915,2.5928,36
"30",1996,30,NA,64.0041666666667,-165.353,2.53724,30
"31",1996,31,NA,63.9901666666667,-165.691666666667,2.44464,32
"32",1996,32,NA,64.1463333333333,-165.712166666667,2.4076,31
"33",1996,33,NA,64.1688333333333,-166.071333333333,2.33352,33
"34",1996,34,NA,64.0165,-166.1195,2.2224,33
"35",1996,35,NA,63.996,-166.465333333333,2.29648,31
"36",1996,36,NA,64.1786666666667,-166.495166666667,2.33352,30
"37",1996,37,NA,64.3123333333333,-166.4875,2.51872,30
"38",1996,38,NA,64.3333333333333,-166.162,2.33352,31
"39",1996,39,NA,64.3341666666667,-165.731666666667,2.42612,31
"40",1996,40,NA,64.5208333333333,-166.575,0.5556,7
"41",1996,41,NA,64.0018333333333,-166.870833333333,2.62984,34
"42",1996,42,NA,63.856,-166.530833333333,2.35204,31
"43",1996,43,NA,63.6905,-166.457,2.37056,29
"44",1996,44,NA,63.6578333333333,-166.145,2.33352,30
"45",1996,45,NA,63.817,-166.081833333333,2.44464,33
"46",1996,46,NA,63.6846666666667,-165.736166666667,2.24092,30
"47",1996,47,NA,63.6853333333333,-165.379666666667,2.42612,30
"48",1996,48,NA,63.6691666666667,-164.999333333333,2.42612,32
"49",1996,49,NA,63.8001666666667,-164.945,2.35204,30
"50",1996,50,NA,63.8258333333333,-165.286666666667,2.42612,32
"51",1996,51,NA,63.8298333333333,-165.727166666667,2.61132,31
"52",1996,52,"r",63.9695,-165.377833333333,2.24092,30
"53",1996,53,"r",64.0228333333333,-165.026666666667,2.27796,31
"54",1996,54,"r",64.1603333333333,-163.480333333333,2.37056,31
"55",1996,55,"r",63.9946666666667,-163.517833333333,2.24092,29
"56",1996,56,"r",63.9815,-163.190666666667,2.42612,31
"57",1996,57,"r",63.9966666666667,-162.737,2.4076,32
"58",1996,58,"r",64.1433333333333,-162.658333333333,2.18536,30
"59",1996,59,"r",64.1641666666667,-163.061,2.24092,29
"60",1996,60,"r",64.1651666666667,-164.935166666667,2.35204,31
"61",1996,61,"r",64.1658333333333,-165.297666666667,2.42612,29
"62",1996,62,"r",64.1501666666667,-165.7025,2.44464,32
"63",1996,63,"r",64.007,-165.760833333333,2.4076,31
"64",1996,64,"r",63.988,-166.089166666667,2.33352,31
"65",1996,65,"r",64.1676666666667,-166.071833333333,2.35204,30
"66",1996,66,"r",63.9995,-166.472166666667,2.24092,28
"67",1996,67,"r",64.1503333333333,-166.518166666667,2.24092,29
"68",1996,68,"r",64.3123333333333,-166.49,2.35204,31
"69",1996,69,"r",64.3346666666667,-166.167333333333,2.27796,29
"70",1996,70,"r",64.3323333333333,-165.760333333333,2.2224,30
"71",1996,71,"r",64.3281666666667,-165.398166666667,2.42612,33
"72",1996,72,"r",64.333,-164.986333333333,2.20388,30
"73",1999,1,NA,64.0018333333333,-166.500166666667,1.852,30
"74",1999,2,NA,64.0011666666667,-166.077166666667,1.852,30
"75",1999,3,NA,64.0023333333333,-165.006666666667,1.852,30
"76",1999,4,NA,64.0096666666667,-165.0025,2.778,30
"77",1999,5,NA,64.0026666666667,-164.009333333333,2.4076,30
"78",1999,6,NA,64,-164.592833333333,1.852,30
"79",1999,7,"r",67.0028333333333,-164.5835,1.852,30
"80",1999,8,NA,64.0025,-164.214,1.852,30
"81",1999,9,NA,64.009,-163.843833333333,1.852,30
"82",1999,10,NA,64.0023333333333,-163.446666666667,1.852,30
"83",1999,11,NA,64.0041666666667,-163.0575,1.852,30
