# NOAA_NBS_Haul_2019,,,,,,,,,,,,
#  ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp
V-24,94,1,,7,29,2019,62.00723,-173.08002,0.01412651,58,0.8,10.8
U-24,94,2,,7,29,2019,61.6776,-173.09355,0.013843541,66,1.4,10.8
T-24,94,3,,7,29,2019,61.33309,-172.93076,0.014293115,69,1.6,10.7
T-23,94,4,,7,29,2019,61.34241,-172.28509,0.015324334,63,1.9,10.8
U-23,94,5,,7,29,2019,61.66291,-172.33209,0.014018111,62,1,10.8
U-22,94,6,,7,30,2019,61.67931,-171.55648,0.014152889,56,1.3,10.8
T-22,94,7,,7,30,2019,61.34249,-171.48311,0.014089166,55,1.8,11.1
T-21,94,8,,7,30,2019,61.33953,-170.85092,0.013161185,49,1.8,11.1
U-21,94,9,,7,30,2019,61.67408,-170.91697,0.013336009,50,1.1,11.1
CC-05,94,10,,8,4,2019,64.331,-165.33186,0.011606532,25,12.7,12.9
BB-05,94,11,,8,4,2019,64.01354,-165.32112,0.012231068,18,12.7,13.2
BB-06,94,12,,8,4,2019,64.00353,-164.54903,0.012287224,19,13.2,13.6
CC-06,94,14,,8,5,2019,64.32498,-164.53171,0.012389951,16,12.7,12.9
CC-07,94,15,,8,5,2019,64.33799,-163.78272,0.012874216,19,13.4,14.2
BB-07,94,16,,8,5,2019,64.00213,-163.77489,0.010676519,20,10.5,12.6
BB-08,94,17,,8,5,2019,64.00249,-163.06424,0.011631364,20,10.7,14
CC-08,94,19,,8,6,2019,64.24736,-163.12622,0.011076992,21,13.5,14.3
CC-09,94,20,,8,6,2019,64.33142,-162.27471,0.012245357,19,14,15.4
CC-10,94,21,,8,6,2019,64.31501,-161.56173,0.01270197,15,15.3,15.6
BB-10,94,22,,8,6,2019,63.99759,-161.52759,0.012761766,19,14.2,14.9
BB-09,94,23,,8,6,2019,63.99935,-162.31633,0.012157971,18,13,14.5
AA-08,94,25,,8,7,2019,63.66912,-163.04993,0.010675461,15,13.9,14.8
AA-07,94,26,,8,7,2019,63.66516,-163.80997,0.01170973,15,13.8,14.3
AA-06,94,28,,8,7,2019,63.67351,-164.57391,0.013339395,12,13,13.1
AA-05,94,29,,8,7,2019,63.66399,-165.30845,0.011880958,18,12,13.4
ZZ-05,94,30,,8,8,2019,63.33161,-165.30584,0.01345581,15,13.3,14.1
ZZ-04,94,31,,8,8,2019,63.33412,-166.03867,0.013161099,24,10.4,11.6
ZZ-03,94,33,,8,8,2019,63.33672,-166.76685,0.012322518,27,6.9,9.2
Y-04,94,34,,8,8,2019,63.00113,-166.01628,0.012580092,21,10.8,11.9
Y-03,94,35,,8,9,2019,63.00628,-166.75543,0.012791652,29,9.1,10.9
X-03,94,37,,8,9,2019,62.66153,-166.74672,0.01325013,26,9.8,11.3
W-03,94,38,,8,9,2019,62.34039,-166.73713,0.011645439,23,11.6,12.3
