NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Area_Swept_Nm2,Depth_m,Bottom_Temp,Surface_Temp
CC-18,94,32,,7,30,2010,64.30527,-169.12482,,39,1.4,8.5
CC-19,94,31,,7,30,2010,64.30922,-169.82915,,38,1.3,2.5
CC-20,94,30,,7,30,2010,64.3373,-170.59722,,36,0.7,8.9
DD-01,94,36,,7,31,2010,64.66873,-168.36397,,38,2,6.6
DD-02,94,47,,8,3,2010,64.68485,-167.60737,0.012215037,31,0.6,9
DD-03,94,48,,8,3,2010,64.64992,-166.8244,0.013294927,26,2.4,11.2
DD-18,94,39,,8,1,2010,64.64222,-169.18483,,42,1.9,5
DD-19,94,38,,8,1,2010,64.6786,-169.90315,,46,1.8,9.1
DD-20,94,37,,8,1,2010,64.63747,-170.61765,,47,2.3,2.2
EE-01,94,46,,8,3,2010,65.0101,-168.34465,,45,2.5,9.3
EE-02,94,45,,8,2,2010,65.0047,-167.615,,33,3.2,9.2
EE-18,94,40,,8,1,2010,65.02415,-169.1029,,48,2.3,3.2
EE-19,94,41,,8,1,2010,65.01542,-169.88993,,49,2,4.9
FF-01,94,43,,8,2,2010,65.32702,-168.42677,,53,2,8.9
FF-02,94,44,,8,2,2010,65.31457,-167.8908,,38,2.2,8.9
R-01,94,1,,7,23,2010,60.68555,-167.99962,,28,4.7,4.8
R-02,94,2,,7,24,2010,60.66808,-167.36012,,24,5.8,5.9
R-03,89,45,,8,8,2010,60.6716,-166.69558,,21,8.9,8.5
R-18,89,1,,7,30,2010,60.655,-168.6925,,38,0.3,7.6
R-19,89,15,,8,2,2010,60.66768,-169.35685,,43,-0.7,9.7
R-20,89,16,,8,2,2010,60.66797,-170.03462,,50,-1.3,9.4
R-21,89,17,,8,2,2010,60.65348,-170.7545,,62,0.5,11.9
S-01,94,4,,7,24,2010,61.01843,-168.03232,,29,5,5.8
S-02,94,3,,7,24,2010,60.98938,-167.34417,,23,5.3,5.3
S-03,89,44,,8,8,2010,61.01755,-166.67373,,19,10,10
S-18,89,2,,7,30,2010,60.98295,-168.73173,,37,0.8,8.5
S-19,89,14,,8,2,2010,61.01115,-169.42953,,42,-0.7,9.5
S-20,89,19,,8,3,2010,60.98112,-170.09193,,48,-1.1,9.4
S-21,89,18,,8,2,2010,60.9981,-170.84488,,54,-1.3,9.2
T-01,94,5,,7,24,2010,61.32565,-168.06697,,28,2.9,7.6
T-02,94,6,,7,25,2010,61.31947,-167.37382,,25,5.2,7.3
T-03,89,43,,8,8,2010,61.35608,-166.90597,,20,9.2,8.9
T-18,89,3,,7,30,2010,61.31817,-168.76693,,34,0.4,8.7
T-19,89,13,,8,1,2010,61.34832,-169.46143,,41,-0.7,9.9
T-20,89,20,,8,3,2010,61.32553,-170.0987,,47,-1.2,9.1
T-21,89,21,,8,3,2010,61.33793,-170.77408,,41,1,11.2
T-22,89,22,,8,3,2010,61.33077,-171.48933,,55,-1.1,9.1
T-23,162,18,,8,8,2010,61.33037,-172.12403,,61,-1.3,9.2
T-24,162,16,,8,7,2010,61.34813,-172.91573,,68,-1.4,9.8
U-01,94,8,,7,25,2010,61.64993,-168.09252,,29,0.9,7.9
U-02,94,7,,7,25,2010,61.65333,-167.4031,,24,4.8,7.5
U-03,89,42,,8,8,2010,61.6588,-166.73952,,20,9,8.9
U-18,89,4,,7,31,2010,61.65305,-168.80163,,37,-0.2,9
U-19,89,12,,8,1,2010,61.67337,-169.5049,,42,-1,9.7
U-20,89,41,,8,7,2010,61.67145,-170.21017,,46,-1.2,9.6
U-21,89,24,,8,4,2010,61.65965,-170.86265,,50,-1.1,9
U-22,89,23,,8,3,2010,61.65798,-171.53878,,55,-1.2,8.9
U-23,162,17,,8,8,2010,61.6752,-172.26853,,60,-1.2,9.3
U-24,162,15,,8,7,2010,61.6815,-173.08012,,65,-1.3,9.4
V-01,94,9,,7,25,2010,61.98527,-168.12582,,28,0.6,7.6
V-02,94,10,,7,26,2010,61.98393,-167.41658,,25,2.8,8
V-03,94,82,,8,10,2010,62.02592,-166.6954,,21,8.7,10
V-18,89,5,,7,31,2010,61.98697,-168.84008,,37,-0.7,9.1
V-19,89,11,,8,1,2010,62.01638,-169.54808,,42,-1.1,9.5
V-20,89,40,,8,7,2010,62.01268,-170.25692,,47,-1,9.5
V-21,89,25,,8,4,2010,61.99455,-170.95498,,49,-1,9.1
V-22,89,26,,8,4,2010,61.99648,-171.6442,,52,-1.2,8.8
V-23,89,27,,8,4,2010,61.97613,-172.36885,,56,-1.2,9
V-24,162,14,,8,7,2010,62.01412,-173.0444,,58,-1.4,9.4
W-01,94,12,,7,26,2010,62.32017,-168.14393,,29,-0.3,7.9
W-02,94,11,,7,26,2010,62.32337,-167.43547,,25,0.8,8
W-03,94,81,,8,10,2010,62.34858,-166.7234,,21,8.7,9.3
W-18,89,6,,7,31,2010,62.31892,-168.87245,,35,-0.9,9.4
W-19,89,10,,8,1,2010,62.34737,-169.5963,,37,-0.8,9.2
W-20,89,39,,8,7,2010,62.35242,-170.28513,,40,-0.9,9.3
W-21,89,38,,8,6,2010,62.35522,-171.04742,,43,-0.8,9
W-22,89,29,,8,5,2010,62.32792,-171.74788,,47,-0.9,8.7
W-23,89,28,,8,4,2010,62.32177,-172.40093,,54,-1.2,8.8
W-24,162,13,,8,7,2010,62.3416,-173.15248,,58,-1.5,9
W-25,162,2,,8,5,2010,62.32582,-173.81928,,63,-1.5,8.8
W-26,162,3,,8,5,2010,62.32398,-174.53585,,70,-1.4,9.1
W-27,162,1,,8,4,2010,62.31255,-175.27057,,78,-1.4,9.2
X-01,94,13,,7,26,2010,62.6493,-168.1882,,33,-0.1,7.7
X-02,94,14,,7,26,2010,62.65202,-167.48878,,27,1.3,7.3
X-03,94,79,,8,10,2010,62.67933,-166.72703,,26,6.8,9.8
X-18,89,7,,7,31,2010,62.65552,-168.9043,,37,-0.6,8
X-19,89,9,,8,1,2010,62.676,-169.57675,,40,1.5,11.2
X-20,89,36,,8,6,2010,62.67765,-170.34105,,43,-1.1,9.6
X-21,89,37,,8,6,2010,62.65313,-171.08255,,45,-0.9,8.8
X-22,89,30,,8,5,2010,62.65408,-171.81212,,49,-1,8.7
X-23,162,11,,8,6,2010,62.68162,-172.45557,,53,-1.2,8.9
X-24,162,12,,8,7,2010,62.6812,-173.17917,,63,-1.6,9.1
X-25,162,5,,8,5,2010,62.66702,-173.93643,,69,-1.6,9
X-26,162,4,,8,5,2010,62.65517,-174.63522,,73,-1.5,9
Y-01,94,16,,7,27,2010,62.98922,-168.20485,,39,0.7,7
Y-02,94,15,,7,27,2010,62.98648,-167.48463,0.013026385,34,1.2,6.6
Y-03,94,55,,8,5,2010,63.00898,-166.7415,0.013086209,28,4.2,10.7
Y-04,94,56,,8,5,2010,62.97382,-166.02683,0.014009556,21,7.9,11.9
Y-18,89,8,,7,31,2010,62.93715,-168.986,,29,0.9,7
Y-20,89,35,,8,6,2010,62.95192,-170.50662,,42,-0.8,9.5
Y-21,89,34,,8,6,2010,62.998,-171.15408,,47,-0.9,8.7
Y-22,89,31,,8,5,2010,62.97495,-171.79808,,53,-1.4,8.7
Y-23,162,10,,8,6,2010,63.01703,-172.60907,,60,-1.2,9.4
Y-24,162,7,,8,6,2010,62.98117,-173.23185,,68,-0.9,8.6
Y-25,162,6,,8,5,2010,62.98033,-173.99422,,74,-1.6,8.8
ZZ-01,94,17,,7,27,2010,63.31945,-168.24468,,27,0.5,1.4
ZZ-02,94,18,,7,27,2010,63.31822,-167.51027,0.013002142,33,0.6,7.7
ZZ-03,94,54,,8,4,2010,63.36122,-166.76678,0.012850359,27,2.9,11
ZZ-04,94,57,,8,5,2010,63.32395,-166.03523,0.012428039,24,3,11.8
ZZ-05,94,58,,8,5,2010,63.3285,-165.3068,0.013924908,15,7.5,12.9
ZZ-21,89,33,,8,5,2010,63.28073,-171.15252,,33,-0.1,7.1
ZZ-22,89,32,,8,5,2010,63.3081,-171.97583,,61,0.1,9.1
ZZ-23,162,9,,8,6,2010,63.34127,-172.6869,,63,0.2,8.9
ZZ-24,162,8,,8,6,2010,63.33627,-173.43953,,70,-0.2,8.8
AA-01,162,75,,8,28,2017,63.66954,-168.278,0.012211546,33,6.5,9.3
AA-02,162,74,,8,28,2017,63.66578,-167.52785,0.012171913,29,5.8,9.6
AA-03,94,52,,8,25,2017,63.66339,-166.80781,0.014358946,29,4.7,11.1
AA-04,94,50,,8,24,2017,63.67658,-166.0585,0.013571925,26,5.5,11.1
AA-05,94,28,,8,19,2017,63.64831,-165.33659,0.012342114,18,10.8,10.9
AA-06,94,29,,8,19,2017,63.68127,-164.61319,0.011121896,12,11.4,11.9
AA-07,94,30,,8,19,2017,63.67011,-163.82735,0.011953734,14,12.7,12.9
AA-08,94,31,,8,20,2017,63.66655,-163.06016,0.012343973,15,13.4,13
AA-10,94,35,,8,20,2017,63.80437,-161.58552,0.005609387,14,10.6,13.8
AA-18,162,71,,8,27,2017,63.67011,-169.01404,0.011653387,36,6.5,7.1
AA-19,162,70,,8,27,2017,63.66607,-169.75383,0.012193902,40,7.7,8
AA-22,162,46,,8,20,2017,63.69665,-172.10453,0.00745094,40,2.5,7.2
AA-23,162,45,,8,19,2017,63.66968,-172.73402,0.013658712,57,1.5,8.3
BB-01,162,72,,8,28,2017,64.00671,-168.29421,0.010810848,36,5.6,8.3
BB-02,162,73,,8,28,2017,64.02824,-167.56579,0.011245749,37,4.8,7.8
BB-03,94,51,,8,25,2017,63.99897,-166.8175,0.013942151,33,4.1,10.7
BB-04,94,49,,8,24,2017,63.99298,-166.05167,0.013127762,22,6.5,11.6
BB-05,94,48,,8,24,2017,64.01534,-165.31265,0.010736172,18,8.9,11.8
BB-06,94,42,,8,22,2017,63.99465,-164.54535,0.012708723,18,11.9,11.9
BB-07,94,41,,8,22,2017,64.00198,-163.79239,0.01064838,19,12.7,12.8
BB-08,94,32,,8,20,2017,63.99646,-163.06261,0.011222215,20,11.8,13.2
BB-09,94,33,,8,20,2017,64.00461,-162.33381,0.011462632,18,8.1,13.2
BB-10,94,36,,8,21,2017,63.99105,-161.53304,0.012788384,18,7.1,13.5
BB-18,162,68,,8,27,2017,64.0077,-169.05261,0.011265767,35,5.8,6
BB-19,162,69,,8,27,2017,63.99308,-169.79379,0.012197484,35,7.3,7.2
BB-20,162,51,,8,21,2017,63.99409,-170.55932,0.01240309,30,6.4,7.8
BB-21,162,48,,8,20,2017,64.04452,-171.3584,0.010269483,33,5.1,9
BB-22,162,47,,8,20,2017,63.99919,-172.02633,0.012606468,54,1.2,8.9
CC-01,162,66,,8,26,2017,64.32915,-168.33552,0.011874703,40,4.2,7.2
CC-02,162,58,,8,24,2017,64.32386,-167.57616,0.007100694,31,3.8,9.9
CC-03,94,45,,8,23,2017,64.34015,-166.83257,0.012858405,30,4.5,11.2
CC-04,94,46,,8,23,2017,64.33107,-166.05974,0.012223493,23,5.2,11.3
CC-05,94,47,,8,24,2017,64.3323,-165.33609,0.01211024,25,8.4,12.4
CC-06,94,43,,8,22,2017,64.32803,-164.53456,0.011298761,15,12.9,13.6
CC-07,94,40,,8,22,2017,64.33843,-163.78699,0.0117015,19,11.1,13.6
CC-08,94,39,,8,21,2017,64.24653,-163.1185,0.012228345,20,8.4,14
CC-09,94,38,,8,21,2017,64.33141,-162.26691,0.01206369,19,7.4,14.1
CC-10,94,37,,8,21,2017,64.31027,-161.53698,0.012284312,15,10.1,13.6
CC-18,162,67,,8,27,2017,64.29345,-169.13892,0.01144497,40,5.3,6.6
CC-19,162,52,,8,21,2017,64.31149,-169.82966,0.008018599,39,4.1,6.1
CC-20,162,50,,8,21,2017,64.27813,-170.69045,0.011642566,35,6.6,9
CC-21,162,49,,8,21,2017,64.30688,-171.27471,0.005361824,45,2.1,8.1
DD-01,162,65,,8,26,2017,64.65996,-168.35471,0.012348529,40,2.8,6.6
DD-02,162,59,,8,25,2017,64.70436,-167.60711,0.013119022,30,4.7,7.9
DD-03,94,44,,8,23,2017,64.65558,-166.80792,0.013088463,25,3.9,7.8
DD-18,162,64,,8,26,2017,64.65126,-169.16212,0.013871367,43,2.9,4.9
DD-19,162,54,,8,22,2017,64.65624,-169.90891,0.013445185,47,3.1,4.7
DD-20,162,53,,8,22,2017,64.61832,-170.68775,0.006885178,47,2.6,8.7
EE-01,162,63,,8,26,2017,65.00093,-168.34499,0.012832057,44,3.2,4.3
EE-02,162,60,,8,25,2017,64.97021,-167.60049,0.01266485,33,3.4,6.4
EE-18,162,56,,8,22,2017,65.01722,-169.12043,0.013073841,49,4,6
EE-19,162,55,,8,22,2017,65.00784,-169.91102,0.013586952,50,3,5.7
FF-01,162,62,,8,25,2017,65.32591,-168.36981,0.012825668,53,3.7,6.2
FF-02,162,61,,8,25,2017,65.25698,-167.86932,0.012304397,33,3.4,7.3
FF-18,162,57,,8,22,2017,65.21764,-168.89474,0.012292662,54,4,4.9
R-01,162,89,,9,2,2017,60.6721,-168.01654,0.012091962,29,10.2,10
R-02,94,57,,8,26,2017,60.67349,-167.31228,0.013637429,26,11,11
R-03,94,17,,8,16,2017,60.66099,-166.65737,0.01269772,20,12.7,12.7
R-18,162,13,,8,4,2017,60.66639,-168.7065,0.012633901,37,8.2,8.8
R-19,94,14,,8,4,2017,60.67054,-169.37521,0.012724719,43,4.8,10.5
R-20,162,12,,8,3,2017,60.67508,-170.05565,0.013479753,49,1.5,10.8
R-21,94,13,,8,3,2017,60.67064,-170.75633,0.012754598,58,-0.7,11.5
S-01,162,88,,9,2,2017,61.00562,-168.03519,0.012247121,30,9.3,10.1
S-02,94,56,,8,26,2017,60.99729,-167.32733,0.013995906,23,10.8,10.8
S-03,94,18,,8,16,2017,61.00993,-166.67181,0.013242631,20,11.9,12
S-18,162,14,,8,4,2017,60.99402,-168.71334,0.012974174,36,8.7,9.5
S-19,94,15,,8,4,2017,60.99735,-169.43424,0.012261495,41,6,10.9
S-20,162,11,,8,3,2017,60.99503,-170.13331,0.014256113,48,1.3,10.8
S-21,94,12,,8,3,2017,61.00328,-170.81818,0.013133786,53,-0.6,10.5
T-01,162,87,,9,1,2017,61.33972,-168.0662,0.012672323,30,6.8,9.6
T-02,94,55,,8,26,2017,61.34474,-167.37217,0.012964955,24,10.4,11
T-03,94,19,,8,17,2017,61.3304,-166.91177,0.013700738,21,11.8,11.8
T-18,162,15,,8,4,2017,61.33044,-168.74267,0.013418488,34,8.9,10
T-19,94,16,,8,4,2017,61.32645,-169.45852,0.01281906,40,4.4,10.9
T-20,162,10,,8,3,2017,61.33137,-170.1774,0.013664677,47,-0.4,10.7
T-21,94,11,,8,3,2017,61.33543,-170.84629,0.012993533,49,-0.7,10.6
T-22,94,9,,8,2,2017,61.3312,-171.5116,0.013192798,55,-1.1,11.8
T-23,94,4,,8,1,2017,61.33567,-172.25823,0.015582501,64,-1.4,11.8
T-24,94,3,,8,1,2017,61.34035,-172.93407,0.009243025,68,-1.4,11.5
U-01,162,86,,8,101,2017,61.66796,-168.0963,0.012263198,29,7.3,9.1
U-02,94,54,,8,26,2017,61.67795,-167.4185,0.013252412,24,9.5,10.8
U-03,94,20,,8,17,2017,61.64634,-166.74446,0.013656568,22,12.4,12.5
U-18,162,24,,8,15,2017,61.6664,-168.80322,0.012947445,37,3.3,8.5
U-19,162,25,,8,15,2017,61.66581,-169.50274,0.013147484,42,0.9,9
U-20,162,9,,8,3,2017,61.673,-170.221,0.013392133,46,-0.5,10.8
U-21,94,10,,8,3,2017,61.67597,-170.90997,0.013278466,50,-1,9.6
U-22,94,8,,8,2,2017,61.67415,-171.58834,0.012885232,55,-1.3,11.2
U-23,94,5,,8,2,2017,61.65951,-172.32618,0.013648271,61,-1.4,10.5
U-24,94,2,,8,1,2017,61.66846,-173.03584,0.00716418,65,-1.5,10.6
V-01,162,85,,8,101,2017,62.00126,-168.126,0.011842371,29,6.8,8.6
V-02,162,84,,8,101,2017,62.00017,-167.4425,0.012990623,26,7.9,9.4
V-03,94,21,,8,17,2017,61.99927,-166.69886,0.013148356,21,11.8,13.4
V-18,162,23,,8,15,2017,61.99596,-168.84087,0.013353314,36,0.8,8.8
V-19,162,26,,8,15,2017,62.00914,-169.54835,0.014799782,42,-0.6,8.7
V-20,162,28,,8,16,2017,62.00291,-170.25688,0.013258577,46,-0.9,8.8
V-21,162,8,,8,2,2017,61.99606,-170.96093,0.013800937,50,-1.1,10.8
V-22,94,7,,8,2,2017,61.99557,-171.65183,0.012507183,51,-1.1,11.2
V-23,94,6,,8,2,2017,61.99573,-172.36478,0.012955829,55,-1.2,10.1
V-24,94,1,,8,1,2017,62.00502,-173.08487,0.013037254,58,-1.5,11
W-01,162,81,,8,31,2017,62.33369,-168.15468,0.012409855,31,8.2,8.4
W-02,162,83,,8,31,2017,62.33883,-167.43722,0.012223436,27,8.4,8.9
W-03,94,22,,8,17,2017,62.3255,-166.72352,0.012985633,22,11.2,11.8
W-18,162,18,,8,11,2017,62.33254,-168.87068,0.013635206,35,0.8,12
W-19,162,27,,8,15,2017,62.33285,-169.59543,0.012029537,37,0.5,7.6
W-20,162,29,,8,16,2017,62.34174,-170.28428,0.01256611,40,0.9,8
W-21,162,7,,8,2,2017,62.33773,-171.05503,0.013273008,43,-0.5,10.5
W-22,162,6,,8,2,2017,62.33721,-171.7271,0.012890098,48,-1,10.3
W-23,162,5,,8,2,2017,62.33073,-172.44562,0.013324687,54,-1.4,10.4
W-24,162,4,,8,1,2017,62.34322,-173.17429,0.013971122,60,-1.5,10.3
W-25,162,3,,8,1,2017,62.34185,-173.88367,0.014638289,64,-1.6,10.3
W-26,162,2,,8,1,2017,62.34029,-174.64544,0.013461613,71,-1.6,10.4
W-27,162,1,,8,1,2017,62.33537,-175.29846,0.014154317,79,-1.5,10.3
X-01,162,80,,8,31,2017,62.6582,-168.18624,0.012032955,34,7.9,8.5
X-02,162,82,,8,31,2017,62.66205,-167.4697,0.01229755,28,7.6,9
X-03,94,23,,8,18,2017,62.64254,-166.74871,0.012690789,26,8.6,11
X-18,162,17,,8,11,2017,62.66072,-168.9003,0.01230242,36,1.3,12.6
X-19,162,22,,8,14,2017,62.66808,-169.5996,0.013954125,40,6.9,7.3
X-20,162,30,,8,16,2017,62.67032,-170.36448,0.014298326,42,3.8,7
X-21,162,31,,8,16,2017,62.66837,-171.08539,0.01368483,45,0,4.7
X-22,162,34,,8,17,2017,62.66896,-171.81505,0.012247748,49,-0.9,8.1
X-23,162,35,,8,17,2017,62.66936,-172.45574,0.013091212,54,-0.8,8.9
X-24,162,38,,8,18,2017,62.66956,-173.18391,0.014424415,64,-1.5,9.2
X-25,162,37,,8,18,2017,62.66693,-173.9141,0.010466177,69,-1.5,9.6
X-26,162,36,,8,18,2017,62.67109,-174.63527,0.014274728,73,-1.4,8.2
Y-01,162,76,,8,29,2017,63.00573,-168.22302,0.011415761,40,7.7,9.2
Y-02,162,79,,8,29,2017,62.99925,-167.48401,0.012436862,34,6.7,9.6
Y-03,94,24,,8,18,2017,62.99165,-166.75021,0.012632494,28,5.8,9.1
Y-04,94,25,,8,18,2017,63.00171,-166.03441,0.012759206,21,10.1,10.2
Y-18,162,16,,8,11,2017,62.93308,-168.98958,0.01334458,30,2,10.2
Y-20,162,21,,8,14,2017,62.94703,-170.46985,0.014474801,42,1,4.1
Y-21,162,20,,8,14,2017,62.99627,-171.11875,0.014672625,47,-0.4,6.2
Y-22,162,33,,8,17,2017,63.00052,-171.79863,0.013002985,53,-0.3,8.5
Y-23,162,43,,8,19,2017,63.00844,-172.60711,0.014888988,61,-1.2,8.4
Y-24,162,41,,8,19,2017,62.99536,-173.23229,0.014165386,68,-1.5,9.5
Y-25,162,39,,8,18,2017,62.99291,-174.00057,0.015284016,74,-1.4,10.4
ZZ-01,162,77,,8,29,2017,63.32491,-168.24356,0.012036045,27,7.8,9.6
ZZ-02,162,78,,8,29,2017,63.33061,-167.50802,0.012265374,33,6.4,10.4
ZZ-03,94,53,,8,25,2017,63.30944,-166.78954,0.013749569,26,6.7,9.8
V-24,94,1,,7,29,2019,62.00723,-173.08002,0.01412651,58,0.8,10.8
U-24,94,2,,7,29,2019,61.6776,-173.09355,0.013843541,66,1.4,10.8
T-24,94,3,,7,29,2019,61.33309,-172.93076,0.014293115,69,1.6,10.7
T-23,94,4,,7,29,2019,61.34241,-172.28509,0.015324334,63,1.9,10.8
U-23,94,5,,7,29,2019,61.66291,-172.33209,0.014018111,62,1,10.8
U-22,94,6,,7,30,2019,61.67931,-171.55648,0.014152889,56,1.3,10.8
T-22,94,7,,7,30,2019,61.34249,-171.48311,0.014089166,55,1.8,11.1
T-21,94,8,,7,30,2019,61.33953,-170.85092,0.013161185,49,1.8,11.1
U-21,94,9,,7,30,2019,61.67408,-170.91697,0.013336009,50,1.1,11.1
CC-05,94,10,,8,4,2019,64.331,-165.33186,0.011606532,25,12.7,12.9
BB-05,94,11,,8,4,2019,64.01354,-165.32112,0.012231068,18,12.7,13.2
BB-06,94,12,,8,4,2019,64.00353,-164.54903,0.012287224,19,13.2,13.6
CC-06,94,14,,8,5,2019,64.32498,-164.53171,0.012389951,16,12.7,12.9
CC-07,94,15,,8,5,2019,64.33799,-163.78272,0.012874216,19,13.4,14.2
BB-07,94,16,,8,5,2019,64.00213,-163.77489,0.010676519,20,10.5,12.6
BB-08,94,17,,8,5,2019,64.00249,-163.06424,0.011631364,20,10.7,14
CC-08,94,19,,8,6,2019,64.24736,-163.12622,0.011076992,21,13.5,14.3
CC-09,94,20,,8,6,2019,64.33142,-162.27471,0.012245357,19,14,15.4
CC-10,94,21,,8,6,2019,64.31501,-161.56173,0.01270197,15,15.3,15.6
BB-10,94,22,,8,6,2019,63.99759,-161.52759,0.012761766,19,14.2,14.9
BB-09,94,23,,8,6,2019,63.99935,-162.31633,0.012157971,18,13,14.5
AA-08,94,25,,8,7,2019,63.66912,-163.04993,0.010675461,15,13.9,14.8
AA-07,94,26,,8,7,2019,63.66516,-163.80997,0.01170973,15,13.8,14.3
AA-06,94,28,,8,7,2019,63.67351,-164.57391,0.013339395,12,13,13.1
AA-05,94,29,,8,7,2019,63.66399,-165.30845,0.011880958,18,12,13.4
ZZ-05,94,30,,8,8,2019,63.33161,-165.30584,0.01345581,15,13.3,14.1
ZZ-04,94,31,,8,8,2019,63.33412,-166.03867,0.013161099,24,10.4,11.6
ZZ-03,94,33,,8,8,2019,63.33672,-166.76685,0.012322518,27,6.9,9.2
Y-04,94,34,,8,8,2019,63.00113,-166.01628,0.012580092,21,10.8,11.9
Y-03,94,35,,8,9,2019,63.00628,-166.75543,0.012791652,29,9.1,10.9
X-03,94,37,,8,9,2019,62.66153,-166.74672,0.01325013,26,9.8,11.3
W-03,94,38,,8,9,2019,62.34039,-166.73713,0.011645439,23,11.6,12.3
V-03,94,40,,8,9,2019,62.00497,-166.69534,0.01254264,22,11.9,13
V-02,94,41,,8,10,2019,61.99045,-167.4153,0.012557864,26,10.4,11.1
W-02,94,42,,8,10,2019,62.33572,-167.43813,0.012119153,27,8.7,10.6
X-02,94,43,,8,10,2019,62.66956,-167.44909,0.012466611,29,7.9,9.1
Y-02,94,44,,8,10,2019,62.99882,-167.48873,0.012937069,34,3.9,8.6
ZZ-02,94,45,,8,10,2019,63.34104,-167.51352,0.011294899,33,3.6,9.2
BB-03,94,47,,8,11,2019,63.99847,-166.81108,0.012965068,32,5.1,8.1
AA-03,94,48,,8,11,2019,63.66541,-166.78842,0.013172533,30,5.7,9
AA-04,94,49,,8,11,2019,63.67346,-166.06363,0.01366035,27,10.2,11.9
BB-04,94,50,,8,11,2019,64.0034,-166.05687,0.012084918,24,10.2,11.8
AA-02,94,51,,8,13,2019,63.67415,-167.51265,0.013428323,29,4,7.8
AA-01,94,53,,8,13,2019,63.67149,-168.26885,0.01416139,33,3.1,11.3
ZZ-01,94,54,,8,13,2019,63.34119,-168.2779,0.014323902,33,2.3,6.5
Y-01,94,55,,8,13,2019,63.00614,-168.21037,0.013789721,40,4.4,9.9
Y-18,94,57,,8,14,2019,62.87278,-168.82889,0.013334364,39,2.1,7
X-18,94,58,,8,14,2019,62.67068,-168.89166,0.013181737,38,2.3,10.5
X-01,94,59,,8,15,2019,62.66791,-168.18687,0.013890947,34,5.7,9.9
W-01,94,60,,8,15,2019,62.34296,-168.1391,0.013257158,31,7.5,10.8
W-18,94,61,,8,15,2019,62.33586,-168.8658,0.013849848,34,3.2,10.7
