LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,month,day,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL                                                                                                                                                                                                                                                                                                                                                                             
61.0105,-166.66733,S-03,70,1982,9,1,19.1211,,purple-orange sea star,Asterias amurensis,81742,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,0.2368,sturgeon poacher,Podothecus accipenserinus,20040,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,0.2368,Bering poacher,Occella dodecaedron,20061,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.4834,0.9473,starry flounder,Platichthys stellatus,10220,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.2686,4.0261,longhead dab,Limanda proboscidea,10211,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,19.8733,223.0906,yellowfin sole,Limanda aspera,10210,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,,sea onion,Boltenia ovifera,98105,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,,Pacific razor,Siliqua patula,75266,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,,hermit crab unid.,Paguridae,69010,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.5371,,helmet crab,Telmessus cheiragonus,68781,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,,ridged Crangon,Crangon dalli,66530,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.1075,,sea anemone unid.,Actiniaria,43000,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0753,0.9473,pighead prickleback,Acantholumpenus mackayi,23809,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.8057,12.7886,rainbow smelt,Osmerus mordax,23055,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.1075,3.5524,whitespotted greenling,Hexagrammos stelleri,21932,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,5.4785,115.8082,saffron cod,Eleginus gracilis,21735,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,1.289,3.7892,plain sculpin,Myoxocephalus jaok,21371,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.2148,4.7365,Pacific herring,Clupea pallasii,21110,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.0107,0.2368,sand lance unid.,Ammodytes sp.,20202,13,11,11.2,21,198202,2
61.0105,-166.66733,S-03,70,1982,9,1,0.2686,10.4204,Alaska plaice,Pleuronectes quadrituberculatus,10285,13,11,11.2,21,198202,2
60.99933,-168.02117,S-01,70,1982,9,1,0.1068,17.6429,walleye pollock,Gadus chalcogrammus,21740,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,4.1614,1.1762,Pacific cod,Gadus macrocephalus,21720,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,3.8946,9.4096,plain sculpin,Myoxocephalus jaok,21371,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,0.0106,0.2352,threaded sculpin,Gymnocanthus pistilliger,21314,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,0.16,3.2933,Pacific herring,Clupea pallasii,21110,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,0.4267,0.2352,Bering wolffish,Anarhichas orientalis,20322,26,9.1,9.3,21,198202,3
60.99933,-168.02117,S-01,70,1982,9,1,0.4267,15.0553,rock sole unid.,Lepidopsetta sp.,10260,26,9.1,9.3,21,198202,3
