# NB_SP_DATA_2023,,,,,,,,,,,
# NOAA NBS trawl survey 2023: Catch weight and numbers exampded ,,,,,,,,,,,
# All trawl survey area data ,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Survey_Id,Cruise,Haul,Stratum,NOAA_Station,Vessel_Id,Date_Time,Spcode,Cpue_Kgkm2,Weight_kg,Total_n
2023,143,202302,1,71,CC-05,134,29-Jul-23,10120,124.046669,5.352,2
2023,143,202302,1,71,CC-05,134,29-Jul-23,10140,0.324487,0.014,2
2023,143,202302,1,71,CC-05,134,29-Jul-23,10210,1585.581587,68.41,997
2023,143,202302,1,71,CC-05,134,29-Jul-23,10212,0.139066,0.006,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,10220,959.553832,41.4,96
2023,143,202302,1,71,CC-05,134,29-Jul-23,10285,44.269271,1.91,19
2023,143,202302,1,71,CC-05,134,29-Jul-23,20061,0.463553,0.02,2
2023,143,202302,1,71,CC-05,134,29-Jul-23,20322,59.33473,2.56,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,21371,105.365501,4.546,26
2023,143,202302,1,71,CC-05,134,29-Jul-23,21388,14.416485,0.622,7
2023,143,202302,1,71,CC-05,134,29-Jul-23,21725,1.205237,0.052,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,21735,1617.103162,69.77,1032
2023,143,202302,1,71,CC-05,134,29-Jul-23,21740,286.290071,12.352,483
2023,143,202302,1,71,CC-05,134,29-Jul-23,21932,2.410473,0.104,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,23055,19.283787,0.832,20
2023,143,202302,1,71,CC-05,134,29-Jul-23,23804,0.278132,0.012,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,23807,97.485107,4.206,215
2023,143,202302,1,71,CC-05,134,29-Jul-23,23809,1.576079,0.068,3
2023,143,202302,1,71,CC-05,134,29-Jul-23,24185,25.402681,1.096,19
2023,143,202302,1,71,CC-05,134,29-Jul-23,24189,44.08385,1.902,5
2023,143,202302,1,71,CC-05,134,29-Jul-23,40561,2.503184,0.108,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,41201,42.994501,1.855,
2023,143,202302,1,71,CC-05,134,29-Jul-23,43000,0.579441,0.025,13
2023,143,202302,1,71,CC-05,134,29-Jul-23,66045,38.938416,1.68,890
2023,143,202302,1,71,CC-05,134,29-Jul-23,66502,112.712809,4.863,1266
2023,143,202302,1,71,CC-05,134,29-Jul-23,66570,106.315783,4.587,890
2023,143,202302,1,71,CC-05,134,29-Jul-23,68560,7.973104,0.344,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,68577,52.288731,2.256,13
2023,143,202302,1,71,CC-05,134,29-Jul-23,68580,1.344302,0.058,4
2023,143,202302,1,71,CC-05,134,29-Jul-23,68590,0.185421,0.008,1
2023,143,202302,1,71,CC-05,134,29-Jul-23,68781,82.975911,3.58,15
2023,143,202302,1,71,CC-05,134,29-Jul-23,69061,2.317763,0.1,13
2023,143,202302,1,71,CC-05,134,29-Jul-23,69322,267.933389,11.56,17
2023,143,202302,1,71,CC-05,134,29-Jul-23,69400,20.906221,0.902,3
2023,143,202302,1,71,CC-05,134,29-Jul-23,74420,0.579441,0.025,13
2023,143,202302,1,71,CC-05,134,29-Jul-23,75287,16.270695,0.702,13
2023,143,202302,1,71,CC-05,134,29-Jul-23,80020,583.84447,25.19,36
2023,143,202302,1,71,CC-05,134,29-Jul-23,80200,30.409049,1.312,15
2023,143,202302,1,71,CC-05,134,29-Jul-23,81742,5815.962396,250.93,1513
2023,143,202302,1,71,CC-05,134,29-Jul-23,99993,72.03607,3.108,
2023,143,202302,1,81,W-27,162,3-Aug-23,471,30.468244,1.72,1
2023,143,202302,1,81,W-27,162,3-Aug-23,10285,14.87984,0.84,1
2023,143,202302,1,81,W-27,162,3-Aug-23,21740,272.797066,15.4,24
2023,143,202302,1,81,W-27,162,3-Aug-23,22205,5.57994,0.315,4
2023,143,202302,1,81,W-27,162,3-Aug-23,22232,5.49137,0.31,2
2023,143,202302,1,81,W-27,162,3-Aug-23,23041,0.708564,0.04,3
2023,143,202302,1,81,W-27,162,3-Aug-23,23806,0.354282,0.02,1
2023,143,202302,1,81,W-27,162,3-Aug-23,24184,16.208397,0.915,1
2023,143,202302,1,81,W-27,162,3-Aug-23,24185,2.479973,0.14,3
2023,143,202302,1,81,W-27,162,3-Aug-23,40504,559.322556,31.575,96
2023,143,202302,1,81,W-27,162,3-Aug-23,41201,2.054835,0.116,
2023,143,202302,1,81,W-27,162,3-Aug-23,43000,20.247211,1.143,61
2023,143,202302,1,81,W-27,162,3-Aug-23,56311,1.434842,0.081,10
2023,143,202302,1,81,W-27,162,3-Aug-23,66045,0.566851,0.032,19
2023,143,202302,1,81,W-27,162,3-Aug-23,66502,0.566851,0.032,16
2023,143,202302,1,81,W-27,162,3-Aug-23,66570,1.718267,0.097,19
2023,143,202302,1,81,W-27,162,3-Aug-23,68577,0.921133,0.052,3
2023,143,202302,1,81,W-27,162,3-Aug-23,68580,306.59556,17.308,554
2023,143,202302,1,81,W-27,162,3-Aug-23,69061,0.283426,0.016,3
2023,143,202302,1,81,W-27,162,3-Aug-23,69095,27.616274,1.559,158
2023,143,202302,1,81,W-27,162,3-Aug-23,71001,27.261993,1.539,
2023,143,202302,1,81,W-27,162,3-Aug-23,71026,3.542819,0.2,16
2023,143,202302,1,81,W-27,162,3-Aug-23,71537,7.13878,0.403,52
2023,143,202302,1,81,W-27,162,3-Aug-23,71580,0.850277,0.048,3
2023,143,202302,1,81,W-27,162,3-Aug-23,71835,1.718267,0.097,10
2023,143,202302,1,81,W-27,162,3-Aug-23,72752,9.122759,0.515,39
2023,143,202302,1,81,W-27,162,3-Aug-23,72755,106.10743,5.99,389
2023,143,202302,1,81,W-27,162,3-Aug-23,80590,143.980166,8.128,65
2023,143,202302,1,81,W-27,162,3-Aug-23,80594,7.52849,0.425,87
2023,143,202302,1,81,W-27,162,3-Aug-23,81355,3.135395,0.177,3
2023,143,202302,1,81,W-27,162,3-Aug-23,83020,125.770076,7.1,24
2023,143,202302,1,81,W-27,162,3-Aug-23,83320,8.555908,0.483,403
2023,143,202302,1,81,W-27,162,3-Aug-23,94000,0.566851,0.032,39
2023,143,202302,1,81,W-27,162,3-Aug-23,99994,0.460566,0.026,
2023,143,202302,2,71,CC-06,134,29-Jul-23,10155,0.813544,0.034,1
2023,143,202302,2,71,CC-06,134,29-Jul-23,10210,444.242856,18.566,749
2023,143,202302,2,71,CC-06,134,29-Jul-23,10211,133.94762,5.598,122
2023,143,202302,2,71,CC-06,134,29-Jul-23,10220,404.139924,16.89,45
2023,143,202302,2,71,CC-06,134,29-Jul-23,10285,414.189585,17.31,429
2023,143,202302,2,71,CC-06,134,29-Jul-23,20041,0.574266,0.024,3
2023,143,202302,2,71,CC-06,134,29-Jul-23,20061,12.873137,0.538,42
2023,143,202302,2,71,CC-06,134,29-Jul-23,21315,10.719638,0.448,36
2023,143,202302,2,71,CC-06,134,29-Jul-23,21371,161.177414,6.736,121
2023,143,202302,2,71,CC-06,134,29-Jul-23,21423,1.579232,0.066,1
2023,143,202302,2,71,CC-06,134,29-Jul-23,21735,1687.146599,70.51,2350
2023,143,202302,2,71,CC-06,134,29-Jul-23,21740,47.903382,2.002,203
2023,143,202302,2,71,CC-06,134,29-Jul-23,21932,1.100677,0.046,2
2023,143,202302,2,71,CC-06,134,29-Jul-23,23055,14.260947,0.596,18
2023,143,202302,2,71,CC-06,134,29-Jul-23,23807,11.054627,0.462,30
2023,143,202302,2,71,CC-06,134,29-Jul-23,23809,237.841968,9.94,216
